Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1961","1961","tonnes","34600","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1962","1962","tonnes","32950","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1963","1963","tonnes","35000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1964","1964","tonnes","35124","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1965","1965","tonnes","35721","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1966","1966","tonnes","36562","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1967","1967","tonnes","38548","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1968","1968","tonnes","39648","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1969","1969","tonnes","39436","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1970","1970","tonnes","40703","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1971","1971","tonnes","41831","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1972","1972","tonnes","45181","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1973","1973","tonnes","49018","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1974","1974","tonnes","53000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1975","1975","tonnes","69731","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1976","1976","tonnes","62790","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1977","1977","tonnes","65344","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1978","1978","tonnes","62365","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1979","1979","tonnes","62951","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1980","1980","tonnes","69684","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1981","1981","tonnes","63213","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1982","1982","tonnes","65416","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1983","1983","tonnes","65092","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1984","1984","tonnes","56571","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1985","1985","tonnes","55123","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1986","1986","tonnes","56844","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1987","1987","tonnes","58814","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1988","1988","tonnes","58253","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1989","1989","tonnes","65407","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1990","1990","tonnes","58904","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1991","1991","tonnes","78452","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1992","1992","tonnes","59083","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1993","1993","tonnes","64868","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1994","1994","tonnes","64786","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1995","1995","tonnes","56965","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1996","1996","tonnes","66321","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1997","1997","tonnes","68454","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1998","1998","tonnes","54970","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","1999","1999","tonnes","51595","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","2000","2000","tonnes","50163","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","2001","2001","tonnes","48668","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","2002","2002","tonnes","49855","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","2003","2003","tonnes","50062","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","2004","2004","tonnes","53301","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","2005","2005","tonnes","51981","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","2006","2006","tonnes","48914","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","2007","2007","tonnes","48225","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","2008","2008","tonnes","46866","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","2009","2009","tonnes","45848","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","2010","2010","tonnes","44704","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","800","Agave fibres nes","2011","2011","tonnes","43753","A","Aggregate, may include official, semi-official, estimated or calculated data"
